N,seed,scenario,method,slack,perturbation_type,Delta,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,min_reduced_cost,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,avg_arrival_shift_h
100,1,U,CG+IR,loose,symmetric,2.0,ok,,178836.12514802974,16.352949900001477,0.0,1.1354262663393e-05,0.0011354262663393,178834.0945956911,178834.0945956911,178836.12514802974,0.0,0,42520,1,16.352949900001477,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42520,0.0,0.0,0,178836.12514802974,0.0,19,55307.92721865031,0.0,55307.92721865031,0.1052631578947368,0.8947368421052632,0.0,0.0,48,72512.06304173335,0.0,72512.06304173335,0.1875,0.8125,0.0,0.0,19,29416.13488764601,0.0,29416.13488764601,0.0,1.0,0.0,0.0,14,21600.0,0.0,21600.0,0.2142857142857142,0.7857142857142857,0.0,0.0,45,14,0.52264734987888,69.53623962536696,15.603669914142875,6,2,0.35470783914206,24,6,0.5787158252518494,7,3,0.4154107484609834,8,3,0.7038658722386708,14,86,0,0.14,0.86,0.0,0.093492420950426
100,2,U,CG+IR,loose,symmetric,2.0,ok,,190457.3893127252,18.86829910000052,0.0,3.149586961448644e-05,0.0031495869614486,190451.39069162428,190451.39069162428,190457.3893127252,0.0,0,44556,1,18.86829910000052,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,44556,0.0,0.0,0,190457.3893127252,0.0,23,69619.7412098413,0.0,69619.7412098413,0.0869565217391304,0.9130434782608696,0.0,0.0,53,79939.80569776768,0.0,79939.80569776768,0.2452830188679245,0.7547169811320755,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,51,11,0.5695150851803291,78.60069586375336,15.4690915441603,9,4,0.4552392206100747,24,6,0.5255738638089607,6,1,0.5521326385105229,12,0,1.0,15,85,0,0.15,0.85,0.0,-0.1025201173623251
100,1,U,CG+IR,tight,one_sided_delay,0.0,ok,,188909.2362236693,14.99384629999986,0.0,2.632737745725634e-05,0.0026327377457256,188904.2627389021,188904.2627389021,188909.2362236693,0.0,0,42648,1,14.99384629999986,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,185859.2362236693,3050.0,19,59150.23695702706,1000.0,60150.23695702706,0.0,1.0,0.0,0.0263157894736842,48,67929.50315637173,800.0,68729.50315637173,0.3333333333333333,0.6458333333333334,0.0208333333333333,0.0208333333333333,19,33579.496110270426,1250.0,34829.496110270426,0.0,0.8421052631578947,0.1578947368421052,0.131578947368421,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,56,18,0.656779530598719,92.79343886746682,14.436674590246572,8,2,0.4979047729138768,28,12,0.708873849543269,10,1,0.5397520403430277,10,3,0.8526092021367003,16,80,4,0.16,0.8,0.04,0.0
100,2,U,CG+IR,tight,one_sided_delay,0.0,ok,,205288.6011452208,17.461058299999422,0.0,0.000248632117372,0.0248632117372038,205237.55980564567,205237.55980564567,205288.6011452208,0.0,0,44467,1,17.461058299999422,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,204588.6011452208,700.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,87060.05598443018,200.0,87260.05598443018,0.2264150943396226,0.6981132075471698,0.0754716981132075,0.0047169811320754,12,25220.33824612805,500.0,25720.33824612805,0.0,0.6666666666666666,0.3333333333333333,0.0833333333333333,12,20400.0,0.0,20400.0,0.0833333333333333,0.9166666666666666,0.0,0.0,54,7,0.5774304229313661,88.15149429972412,14.331524509281405,11,2,0.5173843993175208,30,4,0.6186753547206564,4,0,0.3333333333333333,9,1,0.754450609053237,14,78,8,0.14,0.78,0.08,0.0
100,1,U,CG+IR,tight,one_sided_delay,1.0,ok,,194901.5901528753,15.657179100000576,0.0,0.0001065906823019,0.0106590682301916,194880.81545939925,194880.81545939925,194901.5901528753,0.0,0,42182,1,15.657179100000576,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42182,0.0,0.0,0,187551.5901528753,7350.0,19,59150.23695702706,2500.0,61650.23695702706,0.0,1.0,0.0,0.0657894736842105,48,66707.15121231918,2600.0,69307.15121231918,0.3333333333333333,0.6666666666666666,0.0,0.0677083333333333,19,36494.20198352909,1500.0,37994.20198352909,0.0,0.7368421052631579,0.2631578947368421,0.1578947368421052,14,25200.0,750.0,25950.0,0.0,1.0,0.0,0.0357142857142857,62,27,0.7810151533090766,103.0792087704922,14.247889142405842,12,6,0.8304209564509941,32,13,0.8255607427069354,9,3,0.5507963654074131,9,5,0.8736764689760733,16,79,5,0.16,0.79,0.05,0.4577205808284117
100,2,U,CG+IR,tight,one_sided_delay,1.0,ok,,210409.38190893736,16.081728799999837,0.0,0.0,0.0,210409.38190893736,210409.38190893736,210409.38190893736,0.0,0,43962,1,16.081728799999837,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,43962,0.0,0.0,0,206484.38190893736,3925.0,23,73933.56713556702,1500.0,75433.56713556702,0.0,1.0,0.0,0.0326086956521739,53,86869.49352729689,1800.0,88669.49352729689,0.2641509433962264,0.6415094339622641,0.0943396226415094,0.0424528301886792,12,25281.321246073487,625.0,25906.321246073487,0.0,0.6666666666666666,0.3333333333333333,0.1041666666666666,12,20400.0,0.0,20400.0,0.0833333333333333,0.9166666666666666,0.0,0.0,62,18,0.7362171646222306,100.15206966523957,14.08344830417157,15,3,0.74204617284902,32,12,0.7450553023707679,4,2,0.442028561937483,11,1,0.9801983931495938,15,76,9,0.15,0.76,0.09,0.4571999520025378
100,1,U,CG+IR,tight,one_sided_delay,2.0,ok,,225932.90510490208,14.475800599999276,0.0,2.5763250769710247e-16,2.5763250769710247e-14,225932.905104902,225932.905104902,225932.90510490208,0.0,0,41579,1,14.475800599999276,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,41579,0.0,0.0,0,187732.90510490208,38200.0,19,59150.23695702706,14000.0,73150.23695702705,0.0,1.0,0.0,0.3684210526315789,48,66888.46616434584,13200.0,80088.46616434584,0.3333333333333333,0.6666666666666666,0.0,0.34375,19,36494.20198352909,5000.0,41494.20198352909,0.0,0.7368421052631579,0.2631578947368421,0.5263157894736842,14,25200.0,6000.0,31200.0,0.0,1.0,0.0,0.2857142857142857,72,19,0.8410719774296157,109.27663412692274,14.156422706312568,14,5,0.8981722513903316,35,10,0.8819937032157416,10,3,0.566919427813293,13,1,0.9953398631240804,16,79,5,0.16,0.79,0.05,1.060487899692977
100,2,U,CG+IR,tight,one_sided_delay,2.0,ok,,240632.3216264839,15.791467200000625,0.0,0.0,0.0,240632.3216264839,240632.3216264839,240632.3216264839,0.0,0,43397,1,15.791467200000625,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,43397,0.0,0.0,0,206082.3216264839,34550.0,23,71908.2069146626,7000.0,78908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.1521739130434782,53,88920.7550819648,16800.0,105720.7550819648,0.2452830188679245,0.6415094339622641,0.1132075471698113,0.3962264150943396,12,23653.35962985653,3250.0,26903.35962985653,0.0,0.75,0.25,0.5416666666666666,12,21600.0,7500.0,29100.0,0.0,1.0,0.0,0.4166666666666667,64,16,0.7342441517577575,102.36882815512789,14.077693428135865,13,5,0.6796094851338553,35,9,0.7698209050315804,6,0,0.5,10,2,0.9160740875852768,14,77,9,0.14,0.77,0.09,0.976403598192241
100,1,U,CG+IR,tight,symmetric,0.0,ok,,188658.472767006,14.959601900000052,0.0,2.966329808056216e-05,0.0029663298080562,188652.87653449288,188652.87653449288,188658.472767006,0.0,0,42648,1,14.959601900000052,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,185833.472767006,2825.0,19,59150.23695702706,500.0,59650.23695702706,0.0,1.0,0.0,0.0131578947368421,48,67903.73969970844,1200.0,69103.73969970844,0.3333333333333333,0.6458333333333334,0.0208333333333333,0.03125,19,33579.496110270426,1125.0,34704.496110270426,0.0,0.8421052631578947,0.1578947368421052,0.1184210526315789,14,25200.0,0.0,25200.0,0.0,1.0,0.0,0.0,55,25,0.7037577985645246,96.8094533117852,14.371180566468045,8,5,0.562868297553095,28,16,0.8016835808993249,10,1,0.5575083562213801,9,3,0.7577008251121302,16,80,4,0.16,0.8,0.04,0.0
100,2,U,CG+IR,tight,symmetric,0.0,ok,,205456.622087212,16.971077799998966,0.0,2.717505052306371e-06,0.0002717505052306,205456.0637578033,205456.0637578033,205456.622087212,0.0,0,44467,1,16.971077799998966,full_pricing_converged,Full-CG LP-IP gap,True,0.0,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,204431.622087212,1025.0,23,71908.2069146626,0.0,71908.2069146626,0.0434782608695652,0.9565217391304348,0.0,0.0,53,87270.05554269282,400.0,87670.05554269282,0.2452830188679245,0.660377358490566,0.0943396226415094,0.0094339622641509,12,23653.35962985653,625.0,24278.35962985653,0.0,0.75,0.25,0.1041666666666666,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,47,15,0.5697884492646016,87.8091048840354,14.33653116915897,10,4,0.5325229981813868,25,9,0.5992870991305106,3,1,0.2726923957121781,9,1,0.8080242471520885,14,78,8,0.14,0.78,0.08,0.0
