N,scenario,method,obj_mean,obj_std,runtime_mean,gap_pct_mean,success_rate,cg_status,gap_type
50,P,rolling_horizon,84114.45423425245,1055.8191139483133,9.67123679999986,,1.0,,
50,U,CG+IR,83126.1777140515,3693.3030453728943,7.65336064999974,0.02009719114320735,1.0,full_pricing_converged,Full-CG LP-IP gap
50,U,FIFO,85172.61151631828,5903.48590075548,0.011606300000039451,,1.0,,
50,U,Greedy,87595.02003570276,4832.859313535386,0.0430049999999937,,1.0,,
50,U,Restricted-CG,87595.02003570278,4832.859313535427,0.8041007000001628,0.0,1.0,budgeted_topK,Pool LP-IP gap
50,U,fix_and_optimize,83904.96649883578,3431.7866154095973,8.082600400000274,,1.0,,
50,U,rolling_horizon,84422.18332260802,3724.787808869153,11.120119049999857,,1.0,,
100,L,CG+IR,182306.02969404333,8636.721914201984,18.65627285000005,0.0021527401795946,1.0,full_pricing_converged,Full-CG LP-IP gap
100,L,FIFO,204804.0800948394,11776.621907664752,0.0380806000000575,,1.0,,
100,L,Greedy,205175.74996837514,11124.528437731971,0.08560845000010885,,1.0,,
100,L,Restricted-CG,205175.74996837508,11124.528437732044,1.3292134499999975,0.0,1.0,budgeted_topK,Pool LP-IP gap
100,L,fix_and_optimize,193229.83733858663,10637.762212485146,13.529374449999978,,1.0,,
100,L,rolling_horizon,199564.86945602254,2897.3650784667775,17.85100525000007,,1.0,,
100,P,CG+IR,188483.2587138301,2225.4112615130307,18.59193409999989,0.0019760995497654,1.0,full_pricing_converged,Full-CG LP-IP gap
100,P,FIFO,234220.18191975178,4557.521458787471,0.035572399999864446,,1.0,,
100,P,Greedy,234036.35365064617,2187.2174094064226,0.0856675500001529,,1.0,,
100,P,Restricted-CG,233246.0719808101,1069.5903538294172,1.317111000000068,0.0,1.0,budgeted_topK,Pool LP-IP gap
100,P,fix_and_optimize,221055.88366214867,894.1174039297189,14.732767200000126,,1.0,,
100,P,rolling_horizon,226373.19067376788,9971.848947202825,21.758132650000107,,1.0,,
100,U,CG+IR,184592.69814547242,8843.394093220038,19.492707499999824,0.0049443547911076,1.0,full_pricing_converged,Full-CG LP-IP gap
100,U,FIFO,225685.36365762568,9708.088249840965,0.0336558499998318,,1.0,,
100,U,Greedy,227163.69766069646,9897.192388422982,0.08481460000007246,,1.0,,
100,U,Restricted-CG,227163.69766069634,9897.19238842293,1.4052196000000095,0.0,1.0,budgeted_topK,Pool LP-IP gap
100,U,fix_and_optimize,211890.02239198802,10617.280770108371,15.007329099999879,,1.0,,
100,U,rolling_horizon,210813.0330372663,11177.961339556372,20.587297249999892,,1.0,,
200,L,CG+IR,670238.00800306,10684.984103685621,6.835864050000055,0.0015799233951873878,1.0,budgeted_topK,Pool LP-IP gap
200,L,FIFO,562161.5018546791,8835.372843237961,0.09858474999987266,,1.0,,
200,L,Greedy,563994.0419186421,3011.0274059325116,0.17123044999993906,,1.0,,
200,L,Restricted-CG,563994.0419186421,3011.02740593247,2.482214949999843,1.02818017430015e-14,1.0,budgeted_topK,Pool LP-IP gap
200,L,fix_and_optimize,553559.4430150867,2390.152814672197,19.527110199999925,,1.0,,
200,L,rolling_horizon,567344.356852351,6882.847895570266,32.24453255000003,,1.0,,
200,P,CG+IR,690043.2048681504,18874.344678557896,6.380102699999952,0.0,1.0,budgeted_topK,Pool LP-IP gap
200,P,FIFO,610610.4368522181,6495.721403200485,0.0875667000000248,,1.0,,
