capacity_config,carbon_price,C_AE,KSP,KBS,seed,total_cost,energy_cost,delay_cost,sp_share,bs_share,ae_share,avg_stay_time,masking_rate,runtime
adequate,260,1.05,2,2,6,183223.63287354718,183223.63287354718,0.0,0.14,0.86,0.0,15.842434649116738,0.46968174493570475,13.304038499947637
adequate,260,1.05,2,2,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,15.92544607351911,0.5049028540163748,13.695242499990854
adequate,260,1.05,2,2,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.027984267215054,0.5580293918117983,14.880717599997297
adequate,260,1.05,2,2,9,182675.58904233202,182675.58904233202,0.0,0.16,0.84,0.0,15.598332302881674,0.45865440824935566,11.328171400004067
adequate,260,1.05,2,2,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.233896659942044,0.5581727460812244,14.171298100030981
adequate,320,1.2,2,2,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,16.02522066057001,0.4221247660074243,13.557337199978065
adequate,320,1.2,2,2,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.705191918328888,0.5126453860521842,19.073539400007576
adequate,320,1.2,2,2,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.178709313921814,0.5975054974876669,13.750507900025696
adequate,320,1.2,2,2,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.504226372065272,0.48229139176793046,15.45279709994793
adequate,320,1.2,2,2,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.532813131090888,0.43458436302923376,12.873626800021157
adequate,320,1.2,2,2,6,183223.63287354718,183223.63287354718,0.0,0.14,0.86,0.0,15.936972529415282,0.44338070140917807,13.011080699972808
adequate,320,1.2,2,2,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,15.933916104938076,0.5041444989444438,12.660333000007086
adequate,320,1.2,2,2,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.17647568448207,0.5457091264894244,14.394947800028604
adequate,320,1.2,2,2,9,182675.589042332,182675.589042332,0.0,0.16,0.84,0.0,15.504007680927357,0.5027699933510835,10.9360858
adequate,320,1.2,2,2,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.314842008618633,0.5176275273021065,14.424154400010593
adequate,380,1.35,2,2,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,16.017992537796662,0.4352346198427912,14.61857459996827
adequate,380,1.35,2,2,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.593329968950478,0.5121392869987946,18.414065800025128
adequate,380,1.35,2,2,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.186816444047007,0.5752128490925426,14.329450200020801
adequate,380,1.35,2,2,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.660768021355704,0.4704396596312341,15.394826099975035
adequate,380,1.35,2,2,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.609254019259224,0.44690695673865277,13.565949200012255
adequate,380,1.35,2,2,6,183223.63287354718,183223.63287354718,0.0,0.14,0.86,0.0,15.912129554692594,0.45333914188118846,13.350395500019658
adequate,380,1.35,2,2,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,15.895709122983568,0.5298814179419497,13.250628600013442
adequate,380,1.35,2,2,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.13887311169793,0.5170867220545478,15.339602000021841
adequate,380,1.35,2,2,9,182675.58904233202,182675.58904233202,0.0,0.16,0.84,0.0,15.577611747924216,0.4697745171304829,11.815731099981349
adequate,380,1.35,2,2,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.245812715907967,0.5087657583286053,13.661946700012777
constrained,100,0.65,1,1,1,219152.1155531274,218902.1155531274,250.0,0.08,0.47,0.45,15.024711670378906,0.24528208506347482,5.456582799961325
constrained,100,0.65,1,1,2,234429.57083047493,234229.57083047493,200.0,0.08,0.45,0.47,14.776705931184692,0.25407348989775586,5.4131583999842405
constrained,100,0.65,1,1,3,226955.4744544919,226955.4744544919,0.0,0.08,0.44,0.48,15.503284831942622,0.32707659045251175,5.650232699990738
constrained,100,0.65,1,1,4,218978.22522449645,218978.22522449645,0.0,0.09,0.47,0.44,15.872379653480946,0.2527373260326189,6.773279899964109
constrained,100,0.65,1,1,5,223179.4142081594,223179.4142081594,0.0,0.08,0.45,0.47,14.705385368679766,0.25552872930709625,5.517060299986042
constrained,100,0.65,1,1,6,226971.65821761568,226471.65821761568,500.0,0.09,0.46,0.45,14.856639664843472,0.31000758979615595,5.213726899994072
constrained,100,0.65,1,1,7,233564.42050732518,232964.42050732518,600.0,0.08,0.45,0.47,15.269148301506409,0.2658115935993586,5.217579599993769
constrained,100,0.65,1,1,8,230917.24805744214,230917.24805744214,0.0,0.08,0.44,0.48,15.147510811674191,0.3076109152413023,5.733381800004281
constrained,100,0.65,1,1,9,225624.59150010295,225099.59150010295,525.0,0.08,0.46,0.46,14.891302588375384,0.23070950936325013,4.844736600003671
constrained,100,0.65,1,1,10,223991.07465872908,223591.07465872908,400.0,0.09,0.46,0.45,15.645840024673408,0.24645775084845944,5.6103640999644995
constrained,140,0.75,1,1,1,234868.49488939982,234618.49488939982,250.0,0.08,0.47,0.45,15.124000482896932,0.248895945216908,5.446719200001098
