carbon_price,C_AE,seed,total_cost,energy_cost,delay_cost,sp_share,bs_share,ae_share,avg_stay_time,masking_rate,runtime
140,0.75,6,183223.63287354718,183223.63287354718,0.0,0.14,0.86,0.0,15.823126204924357,0.4803990113534736,13.020154000027105
140,0.75,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,15.968889062351568,0.48253823359530884,12.475069700041786
140,0.75,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.1312784355443,0.5170906996286867,14.344575099996291
140,0.75,9,182675.589042332,182675.589042332,0.0,0.16,0.84,0.0,15.37555841118371,0.5285790536261259,11.023007199983113
140,0.75,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.266795785805854,0.5414117983910015,13.410557800030801
200,0.9,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,15.795270765762409,0.4787118755830345,14.85046639997745
200,0.9,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.67817527108889,0.5025400172924642,17.958247100003064
200,0.9,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.38139924339609,0.5111424652561812,14.089812899997924
200,0.9,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.596796441751763,0.4812289392912657,15.637844400014728
200,0.9,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.603520322364986,0.47945336162444524,12.986084899981506
200,0.9,6,183223.63287354715,183223.63287354715,0.0,0.14,0.86,0.0,15.896694120821401,0.4498802332430422,13.369706799974665
200,0.9,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,15.93841213082975,0.5166779092797824,12.711276500020176
200,0.9,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.13075419370386,0.537432118646482,15.185848299995996
200,0.9,9,182675.58904233202,182675.58904233202,0.0,0.16,0.84,0.0,15.53151870740733,0.5052156759571823,11.231735099980142
200,0.9,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.31302340180175,0.5068363806368976,13.419909899996128
260,1.05,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,15.976023911053616,0.47263252788394666,13.622922000009567
260,1.05,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.712084767933932,0.4727046704065845,14.841641999955755
260,1.05,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.192228489911887,0.5402510098900217,14.011935899965465
260,1.05,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.40465268166557,0.5205246142750416,15.360878099978436
260,1.05,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.605664475367151,0.4514710367926781,13.226236599963158
260,1.05,6,183223.63287354718,183223.63287354718,0.0,0.14,0.86,0.0,15.842434649116738,0.46968174493570475,13.303598999977112
260,1.05,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,15.92544607351911,0.5049028540163748,13.322494900028687
260,1.05,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.027984267215054,0.5580293918117983,14.936459799995646
260,1.05,9,182675.58904233202,182675.58904233202,0.0,0.16,0.84,0.0,15.598332302881674,0.45865440824935566,11.15758390002884
260,1.05,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.233896659942044,0.5581727460812244,14.315962499997113
320,1.2,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,16.02522066057001,0.4221247660074243,13.543689400015865
320,1.2,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.705191918328888,0.5126453860521842,19.640341100050136
320,1.2,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.178709313921814,0.5975054974876669,14.069906299991999
320,1.2,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.504226372065272,0.48229139176793046,15.597014800005127
320,1.2,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.532813131090888,0.43458436302923376,12.999549600004684
320,1.2,6,183223.63287354718,183223.63287354718,0.0,0.14,0.86,0.0,15.936972529415282,0.44338070140917807,12.850423399999272
320,1.2,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,15.933916104938076,0.5041444989444438,12.662066400051117
320,1.2,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.17647568448207,0.5457091264894244,14.657155699969735
320,1.2,9,182675.589042332,182675.589042332,0.0,0.16,0.84,0.0,15.504007680927357,0.5027699933510835,11.040290599979926
320,1.2,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.314842008618633,0.5176275273021065,14.073802799975965
380,1.35,1,178339.47421345147,178339.47421345147,0.0,0.13,0.87,0.0,16.017992537796662,0.4352346198427912,14.013258999970276
380,1.35,2,190845.92207749336,190845.92207749336,0.0,0.16,0.84,0.0,15.593329968950478,0.5121392869987946,17.165463800018188
380,1.35,3,183140.37162830672,182740.37162830672,400.0,0.17,0.83,0.0,16.186816444047007,0.5752128490925426,13.883604400034528
380,1.35,4,177329.8383274136,177329.8383274136,0.0,0.12,0.88,0.0,16.660768021355704,0.4704396596312341,14.831859600031748
380,1.35,5,180162.8843081935,180162.8843081935,0.0,0.15,0.85,0.0,15.609254019259224,0.44690695673865277,12.901920599979348
380,1.35,6,183223.63287354718,183223.63287354718,0.0,0.14,0.86,0.0,15.912129554692594,0.45333914188118846,13.114336200000253
380,1.35,7,189318.64671756962,189318.64671756962,0.0,0.15,0.85,0.0,15.895709122983568,0.5298814179419497,12.735162600001786
380,1.35,8,186831.28410148967,186831.28410148967,0.0,0.15,0.85,0.0,16.13887311169793,0.5170867220545478,14.949329100025352
380,1.35,9,182675.58904233202,182675.58904233202,0.0,0.16,0.84,0.0,15.577611747924216,0.4697745171304829,11.707218599971384
380,1.35,10,181510.71319053316,181510.71319053316,0.0,0.16,0.84,0.0,16.245812715907967,0.5087657583286053,13.477550599956885
