experiment,scenario,mechanism,N,seed,method,param_name,param_value,obj,runtime_total,runtime_pricing,gap,status,error,num_iters,num_pricing_calls,num_columns_added,min_reduced_cost_last,pricing_time_share,cost_energy,cost_delay,shore_utilization,mode_shore_count,mode_battery_count,mode_brown_count,infeasible_jobs,shore_ratio,battery_ratio,brown_ratio,mechanism_counts,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,time_limit,solver_backend
scenario,P,hybrid,100,6,cg,scenario,P,187201.4823141832,17.25630969996564,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,187076.4823141832,125.0,1.0,15,85,0,0,0.15,0.85,0.0,"{'shore': 15, 'battery': 85, 'brown': 0}",18,57072.358260152665,0.0,57072.358260152665,0.0,1.0,0.0,0.0,46,70183.39934306078,0.0,70183.39934306078,0.3043478260869565,0.6956521739130435,0.0,0.0,16,25020.724710969724,125.0,25145.724710969724,0.0,1.0,0.0,0.015625,20,34800.0,0.0,34800.0,0.05,0.95,0.0,0.0,,
scenario,P,hybrid,100,6,greedy,scenario,P,230969.559776882,0.2053760000271722,,,ok,,,,,,,220094.559776882,10875.0,1.0,13,71,16,0,0.13,0.71,0.16,"{'shore': 13, 'battery': 71, 'brown': 16}",18,63637.23292274168,5000.0,68637.23292274168,0.0,0.8888888888888888,0.1111111111111111,0.1388888888888889,46,77436.60214317049,4000.0,81436.60214317049,0.2826086956521739,0.6304347826086957,0.0869565217391304,0.108695652173913,16,25020.724710969724,1875.0,26895.724710969724,0.0,1.0,0.0,0.234375,20,54000.0,0.0,54000.0,0.0,0.5,0.5,0.0,,
scenario,P,hybrid,100,6,fifo,scenario,P,226708.99619395705,0.0990982999792322,,,ok,,,,,,,219483.996193957,7225.0,1.0,13,71,16,0,0.13,0.71,0.16,"{'shore': 13, 'battery': 71, 'brown': 16}",18,61610.93812931128,2500.0,64110.93812931128,0.0555555555555555,0.8333333333333334,0.1111111111111111,0.0694444444444444,46,78852.33335367592,3600.0,82452.33335367592,0.2608695652173913,0.6521739130434783,0.0869565217391304,0.0978260869565217,16,25020.724710969724,1125.0,26145.724710969724,0.0,1.0,0.0,0.140625,20,54000.0,0.0,54000.0,0.0,0.5,0.5,0.0,,
scenario,P,hybrid,100,6,milp60,scenario,P,201024.50369998324,64.44075110007543,,,not solved,,,,,,,201024.50369998324,0.0,1.0,9,84,7,0,0.09,0.84,0.07,"{'shore': 9, 'battery': 84, 'brown': 7}",18,53641.711992477816,0.0,53641.711992477816,0.1666666666666666,0.7777777777777778,0.0555555555555555,0.0,46,83411.67043671459,0.0,83411.67043671459,0.1304347826086956,0.782608695652174,0.0869565217391304,0.0,16,27971.121270790805,0.0,27971.121270790805,0.0,0.875,0.125,0.0,20,36000.0,0.0,36000.0,0.0,1.0,0.0,0.0,60.0,gurobi_cmd
scenario,P,hybrid,100,6,milp300,scenario,P,188753.0932031487,304.50368720002007,,,not solved,,,,,,,188053.0932031487,700.0,1.0,14,86,0,0,0.14,0.86,0.0,"{'shore': 14, 'battery': 86, 'brown': 0}",18,57072.358260152665,0.0,57072.358260152665,0.0,1.0,0.0,0.0,46,71160.01023202628,200.0,71360.01023202628,0.2826086956521739,0.717391304347826,0.0,0.0054347826086956,16,25020.724710969724,500.0,25520.724710969724,0.0,1.0,0.0,0.0625,20,34800.0,0.0,34800.0,0.05,0.95,0.0,0.0,300.0,gurobi_cmd
scenario,P,hybrid,100,7,cg,scenario,P,190542.3279927156,22.353965900023468,0.0,,ok,,1.0,0.0,0.0,0.0,0.0,190342.3279927156,200.0,1.0,16,84,0,0,0.16,0.84,0.0,"{'shore': 16, 'battery': 84, 'brown': 0}",21,65625.87941370715,0.0,65625.87941370715,0.0476190476190476,0.9523809523809524,0.0,0.0,54,81589.61221430714,200.0,81789.61221430714,0.2777777777777778,0.7222222222222222,0.0,0.0046296296296296,10,16126.836364701358,0.0,16126.836364701358,0.0,1.0,0.0,0.0,15,27000.0,0.0,27000.0,0.0,1.0,0.0,0.0,,
scenario,P,hybrid,100,7,greedy,scenario,P,243990.4951509805,0.2232631000224501,,,ok,,,,,,,233540.4951509805,10450.0,1.0,12,68,20,0,0.12,0.68,0.2,"{'shore': 12, 'battery': 68, 'brown': 20}",21,77951.97454001005,2000.0,79951.97454001005,0.1904761904761904,0.5238095238095238,0.2857142857142857,0.0476190476190476,54,101661.6842462692,5200.0,106861.6842462692,0.1481481481481481,0.7037037037037037,0.1481481481481481,0.1203703703703703,10,16126.836364701358,2500.0,18626.83636470136,0.0,1.0,0.0,0.5,15,37800.0,750.0,38550.0,0.0,0.6,0.4,0.0333333333333333,,
scenario,P,hybrid,100,7,fifo,scenario,P,242784.8050411107,0.1073073000879958,,,ok,,,,,,,229934.80504111075,12850.0,1.0,12,69,19,0,0.12,0.69,0.19,"{'shore': 12, 'battery': 69, 'brown': 19}",21,73328.2880520412,5500.0,78828.2880520412,0.1428571428571428,0.6666666666666666,0.1904761904761904,0.1309523809523809,54,99117.3348536302,6600.0,105717.3348536302,0.1666666666666666,0.7037037037037037,0.1296296296296296,0.1527777777777778,10,17889.182135439387,750.0,18639.182135439387,0.0,0.9,0.1,0.15,15,39600.0,0.0,39600.0,0.0,0.5333333333333333,0.4666666666666667,0.0,,
scenario,P,hybrid,100,7,milp60,scenario,P,202707.29885550373,65.01178780000191,,,not solved,,,,,,,201907.29885550373,800.0,1.0,11,83,6,0,0.11,0.83,0.06,"{'shore': 11, 'battery': 83, 'brown': 6}",21,63200.654943304326,0.0,63200.654943304326,0.0952380952380952,0.9047619047619048,0.0,0.0,54,92672.03634649851,800.0,93472.03634649851,0.1666666666666666,0.7592592592592593,0.074074074074074,0.0185185185185185,10,19034.60756570092,0.0,19034.60756570092,0.0,0.8,0.2,0.0,15,27000.0,0.0,27000.0,0.0,1.0,0.0,0.0,60.0,gurobi_cmd
scenario,P,hybrid,100,7,milp300,scenario,P,195306.871471765,305.0412932999898,,,not solved,,,,,,,195056.871471765,250.0,1.0,13,85,2,0,0.13,0.85,0.02,"{'shore': 13, 'battery': 85, 'brown': 2}",21,65176.40824952504,0.0,65176.40824952504,0.0476190476190476,0.9523809523809524,0.0,0.0,54,85373.20527116532,0.0,85373.20527116532,0.2222222222222222,0.7592592592592593,0.0185185185185185,0.0,10,17507.257951074684,250.0,17757.257951074684,0.0,0.9,0.1,0.05,15,27000.0,0.0,27000.0,0.0,1.0,0.0,0.0,300.0,gurobi_cmd
