iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
25,50.33798770001158,1763068.6379351786,1763068.6379351786,1763068.6379351786,726,12500,-2965.556889671685,0.0
26,53.7326127999695,1757134.1855297706,1757134.1855297706,1757134.1855297706,626,13000,-2956.211716826102,0.0
27,57.24317879998125,1751227.1913152442,1751227.1913152442,1751227.1913152442,675,13500,-2897.9711987377896,0.0
28,61.07464309997158,1745432.714392171,1745432.714392171,1745432.714392171,630,14000,-2881.226387690595,0.0
29,64.89629979996243,1738934.7568739315,1738934.7568739315,1738934.7568739315,718,14500,-2867.2289639187557,0.0
30,68.8819868999999,1733205.7485114892,1733205.7485114892,1733205.7485114892,626,15000,-2850.4953365603305,0.0
31,72.97684620000655,1727507.2286184232,1727507.2286184232,1727507.2286184232,474,15500,-2844.916506620235,0.0
32,77.25257179996697,1721822.2228935754,1721822.2228935754,1721822.2228935754,404,16000,-2820.7598795243166,0.0
33,81.48495179996826,1716180.658983255,1716180.658983255,1716180.658983255,381,16500,-2809.8829948573275,0.0
34,85.92939150001621,1711072.547021248,1711072.547021248,1711072.547021248,329,17000,-2242.305568003354,0.0
35,90.41518810001435,1706658.4069453452,1706658.4069453452,1706658.4069453452,404,17500,-2145.124163918756,0.0
36,94.86287919996539,1702541.1495825632,1702541.1495825632,1702541.1495825632,438,18000,-1507.3219041570703,0.0
37,99.51348939997843,1699732.7503721921,1699732.7503721921,1699732.7503721921,331,18500,-1040.4321041570704,0.0
38,104.20989619998727,1698575.3565408199,1698575.3565408199,1698575.3565408199,135,19000,-519.3448282970403,0.0
39,109.21779359999346,1698575.3565219243,1698575.3565219243,1698575.3565219243,98,19500,-384.35587423159177,0.0
40,114.01219849998597,1698575.3565581928,1698575.3565581928,1698575.3565581928,276,20000,-215.32411763363552,0.0
41,118.74083299998892,1698575.3565571401,1698575.3565571401,1698575.3565571401,164,20500,-144.8142973336353,0.0
42,123.40298549999716,1698575.3565373523,1698575.3565373523,1698575.3565373523,117,21000,-232.76821723159128,0.0
43,128.30206119996728,1698569.7723344183,1698569.7723344183,1698569.7723344183,253,21500,-46.50111132204029,0.0
44,133.1806116999942,1698568.8547647947,1698568.8547647947,1698568.8547647947,86,22000,-26.543278092268793,0.0
45,138.15688379999483,1698568.8547762218,1698568.8547762218,1698568.8547762218,97,22500,-39.269961133857805,0.0
46,143.0312530999654,1698568.854804674,1698568.854804674,1698568.854804674,67,23000,-168.09371228029022,0.0
47,147.83572079997975,1698568.8548154787,1698568.8548154787,1698568.8548154787,114,23500,-16.274903218452437,0.0
48,152.62407680001343,1698568.8547457969,1698568.8547457969,1698568.8547457969,170,24000,-37.98499100290155,0.0
49,157.55061209999258,1698568.854767541,1698568.854767541,1698568.854767541,151,24500,-1.1984183169620337,0.0
50,162.6675025000004,1698568.8548040914,1698568.8548040914,1698568.8548040914,95,25000,-120.17794258143067,0.0
51,167.66601629997604,1698568.8547396895,1698568.8547396895,1698568.8547396895,107,25500,-30.048658498249097,0.0
52,172.84792669996386,1698568.854752676,1698568.854752676,1698568.854752676,134,26000,-41.67227100290165,0.0
53,178.05448589997832,1698568.8547600282,1698568.8547600282,1698568.8547600282,51,26500,-44.2380888738835,0.0
54,183.0697945000138,1698568.8547602491,1698568.8547602491,1698568.8547602491,21,27000,-296.4487854071672,0.0
55,188.09382299997378,1698568.8547606084,1698568.8547606084,1698568.8547606084,90,27500,-20.94199032126062,0.0
56,193.36515919998055,1698568.8547666739,1698568.8547666739,1698568.8547666739,34,28000,-51.955402674210745,0.0
57,198.42496129998472,1698568.854773756,1698568.854773756,1698568.854773756,112,28500,-68.1361908947506,0.0
