iteration,wall_time,rmp_obj,rmp_lb,best_primal_obj,columns_added_this_iter,pricing_calls_cum,min_reduced_cost_last,dual_norm
48,102.5772825999884,534743.4132448666,534743.4132448666,534743.4132448666,66,9600,-107.91820750559282,0.0
49,105.67365459998837,534743.413260271,534743.413260271,534743.413260271,94,9800,-4.822850792152167e-05,0.0
50,108.84325639999588,534743.413260271,534743.413260271,534743.413260271,29,10000,-51.938753772870314,0.0
51,112.01156939999782,534743.413260271,534743.413260271,534743.413260271,15,10200,-65.54428447903774,0.0
52,115.20381049998105,534743.413260271,534743.413260271,534743.413260271,2,10400,-7.279809892679623e-05,0.0
53,118.43833589999122,534743.4132602711,534743.4132602711,534743.4132602711,11,10600,-89.51170882529914,0.0
54,121.78495009997278,534743.413260271,534743.413260271,534743.413260271,31,10800,-24.999192255872913,0.0
55,125.0335642999853,534743.4132602711,534743.4132602711,534743.4132602711,110,11000,-31.788728906069082,0.0
56,128.14633719998528,534743.413260271,534743.413260271,534743.413260271,6,11200,-43.96453790606938,0.0
57,131.3661331999756,534743.413260271,534743.413260271,534743.413260271,85,11400,-3.614952479038493,0.0
58,134.55394299997715,534743.413260271,534743.413260271,534743.413260271,44,11600,-25.420147505592922,0.0
59,137.8145001999801,534743.4132602711,534743.4132602711,534743.4132602711,26,11800,-13.732479237467942,0.0
60,140.94609519999358,534743.413260271,534743.413260271,534743.413260271,4,12000,-3.082529929088196e-05,0.0
