iteration,wall_time,rmp_lp_obj,lp_obj_final_pool_if_available,irmp_obj_checkpoint_if_solved,columns_added_this_iter,total_columns,pricing_calls_cum,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,min_reduced_cost_last,num_negative_columns_last,pool_gap_pct_if_available,relative_improvement_last_5,pricing_converged,objective_stabilized
16,8.383348399998795,213040.16071176977,,,275,4574,1760,-1482.5051181874078,3839,275,-1482.5051181874078,-1482.5051181874078,3839,,0.0029394054415787588,False,False
17,9.203555799998867,213040.16076724025,,,246,4820,1870,-1482.5051181874078,3216,246,-1482.5051181874078,-1482.5051181874078,3216,,0.0013377426171886156,False,False
18,10.052797599997575,212762.2703159725,,,272,5092,1980,-1495.352636132853,3760,272,-1495.352636132853,-1495.352636132853,3760,,0.0019261464909199823,False,False
19,10.95561589999852,212707.69596144423,,,250,5342,2090,-1482.5051181874078,3231,250,-1482.5051181874078,-1482.5051181874078,3231,,0.002002852295175948,False,False
20,11.885714100000769,212697.07677857063,,,224,5566,2200,-1482.5051181874078,2812,224,-1482.5051181874078,-1482.5051181874078,2812,,0.0016213335886590533,False,False
21,12.824520899997879,212697.07677857048,,,204,5770,2310,-1482.5051181874078,2527,204,-1482.5051181874078,-1482.5051181874078,2527,,0.001610419049877932,False,False
22,13.81127099999867,212683.02349664198,,,225,5995,2420,-1498.4814692887508,5027,225,-1498.4814692887508,-1498.4814692887508,5027,,0.001676384721604016,False,False
23,14.846195399997669,212655.93712381646,,,203,6198,2530,-1498.4814665505178,4473,203,-1498.4814665505178,-1498.4814665505178,4473,,0.0004997746639859155,False,False
24,15.880376599998272,212497.89115249508,,,151,6349,2640,-1482.5051040475162,1605,151,-1482.5051040475162,-1482.5051040475162,1605,,0.0009863526940143202,False,False
25,17.009888199998386,212354.57120435926,,,133,6482,2750,-1498.4814460027546,4255,133,-1498.4814460027546,-1498.4814460027546,4255,,0.0016102975151272483,False,False
26,18.11223489999975,212305.0335247232,,,100,6582,2860,-1482.5051040475162,1497,100,-1482.5051040475162,-1482.5051040475162,1497,,0.0018432000090693318,False,False
27,19.246909099998447,212097.5733646978,,,125,6707,2970,-1348.506653005098,1375,125,-1348.506653005098,-1348.506653005098,1375,,0.0027526885894276396,False,False
28,20.401713299997937,212094.9530709148,,,147,6854,3080,-607.5051046317867,2799,147,-607.5051046317867,-607.5051046317867,2799,,0.0026379891409992686,False,False
29,21.591166499998508,211710.85609418162,,,87,6941,3190,-1232.50505660942,1015,87,-1232.50505660942,-1232.50505660942,1015,,0.0037037311478477497,False,False
30,22.8130276999982,211671.80110642733,,,72,7013,3300,-708.3306566094197,1218,72,-708.3306566094197,-708.3306566094197,1218,,0.0032152361687324874,False,False
31,24.089245899998787,211108.30486572487,,,60,7073,3410,-205.18612936936347,1076,60,-205.18612936936347,-205.18612936936347,1076,,0.005636836014342383,False,False
32,25.27075590000095,211080.51800340277,,,107,7180,3520,-298.93827471605255,3075,107,-298.93827471605255,-298.93827471605255,3075,,0.004795223939437647,False,False
33,26.515205299998343,211069.42118126017,,,93,7273,3630,-125.69106047717105,3493,93,-125.69106047717105,-125.69106047717105,3493,,0.00483524890529454,False,False
34,27.748498299999483,211069.4211910448,,,81,7354,3740,-135.84755751605553,2839,81,-135.84755751605553,-135.84755751605553,2839,,0.0030297685955768105,False,False
35,29.067807999999786,211069.42117991266,,,39,7393,3850,-146.57684591282418,3082,39,-132.02480761605557,-146.57684591282418,3082,,0.002845820384982661,False,False
36,30.37124489999769,211069.42115198722,,,56,7449,3960,-125.00003660941962,3388,56,-46.17446003894429,-125.00003660941962,3388,,0.0001841884608110797,False,False
37,31.75805169999876,211069.42114160964,211069.4211641944,211196.22744657763,27,7476,4070,-139.6261767160554,2903,27,-139.6261767160554,-139.6261767160554,2903,0.06004192589817494,5.257170059132065e-05,False,False
