N,scenario,seed,method,C_BS,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,pool_gap_pct,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,pricing_converged,objective_stabilized,relative_improvement_last_5,injected_columns_count,injected_incumbent_methods,min_reduced_cost,operation_mode,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,objective,total_cost,delay_cost,avg_stay_h,masking_rate,avg_delay_h,emissions_total
100,U,10,CG+IR,0.45,ok,,181510.7131905332,16.979688200000965,0.0,1.1031644825455625e-05,0.0011031644825455,181508.71082881323,181508.71082881323,181510.7131905332,0.0011031644825455,0.0,0.0,0.0,0.0,0.0,0.0,42844.0,1.0,16.979688200000965,full_pricing_converged,Full-CG LP-IP gap,1.0,1.0,0.0,,0.0,,0.0,simops,Optimal,Optimal,True,1.0,0.0,0.0,42844.0,0.0,0.0,0,181510.7131905332,0.0,18,56432.35545265965,0.0,56432.35545265965,0.0,1.0,0.0,0.0,54,80919.75904616024,0.0,80919.75904616024,0.2592592592592592,0.7407407407407407,0.0,0.0,18,28558.598691713312,0.0,28558.598691713312,0.0,1.0,0.0,0.0,10,15600.0,0.0,15600.0,0.2,0.8,0.0,0.0,52,8,0.5618784341278728,78.34634193552081,16.25500090205165,9,1,0.5486002872918797,25,6,0.5066166614296965,12,0,0.6666666666666666,6,1,0.695573852432984,16,84,0,0.16,0.84,0.0,181510.7131905332,181510.7131905332,0.0,16.25500090205165,0.5618784341278728,,0.0
100,U,10,Rolling-Horizon,0.45,ok,,208530.17930675912,19.2974022999988,,,,,,,,,,,,,,,,19.2974022999988,,,,,,,,,,,,,True,,,,,,,0,203705.17930675912,4825.0,18,57286.64104493154,0.0,57286.64104493154,0.0555555555555555,0.8888888888888888,0.0555555555555555,0.0,54,95684.76165988532,3200.0,98884.76165988532,0.2037037037037037,0.6851851851851852,0.1111111111111111,0.074074074074074,18,30333.776601942234,1625.0,31958.776601942234,0.0,0.9444444444444444,0.0555555555555555,0.1805555555555555,10,20400.0,0.0,20400.0,0.1,0.7,0.2,0.0,38,11,0.4394970707535347,54.84559380624625,16.294860185900443,6,3,0.4575348500227233,16,8,0.3650755513878603,11,0,0.6111111111111112,5,0,0.5,13,77,10,0.13,0.77,0.1,208530.17930675912,208530.17930675912,4825.0,16.294860185900443,0.4394970707535347,,0.1
100,U,10,Fix-and-Optimize,0.45,ok,,203529.27805778463,13.684357199999797,,,,,,,,,,,,,,,,13.684357199999797,,,,,,,,,,,,,True,,,,,,,0,200829.27805778463,2700.0,18,59582.3698381253,0.0,59582.3698381253,0.0,0.9444444444444444,0.0555555555555555,0.0,54,92288.30952794604,2200.0,94488.30952794604,0.2592592592592592,0.6296296296296297,0.1111111111111111,0.0509259259259259,18,28558.598691713312,500.0,29058.598691713312,0.0,1.0,0.0,0.0555555555555555,10,20400.0,0.0,20400.0,0.1,0.7,0.2,0.0,53,9,0.5845108894876424,80.21091696376482,15.667817525747823,7,1,0.4182250177386985,29,7,0.6100188879502645,13,0,0.7222222222222222,4,1,0.4982018680153383,15,76,9,0.15,0.76,0.09,203529.27805778463,203529.27805778463,2700.0,15.667817525747823,0.5845108894876424,,0.09
100,U,1,CG+IR,0.6,ok,,234786.11090177903,17.78539500000261,0.0,1.8068264172703424e-05,0.0018068264172703,234781.8687243032,234781.8687243032,234786.11090177903,0.0018068264172703,0.0,0.0,0.0,0.0,0.0,0.0,42648.0,1.0,17.78539500000261,full_pricing_converged,Full-CG LP-IP gap,1.0,1.0,0.0,,0.0,,0.0,simops,Optimal,Optimal,True,1.0,0.0,0.0,42648.0,0.0,0.0,0,234786.11090177903,0.0,19,66898.44469386112,0.0,66898.44469386112,0.2105263157894736,0.7894736842105263,0.0,0.0,48,96866.1530243899,0.0,96866.1530243899,0.1666666666666666,0.8333333333333334,0.0,0.0,19,39221.51318352802,0.0,39221.51318352802,0.0,1.0,0.0,0.0,14,31800.0,0.0,31800.0,0.0714285714285714,0.9285714285714286,0.0,0.0,40,9,0.4538370402583105,70.10426969262569,15.946138049272683,5,3,0.3573859147874799,22,6,0.5331952426014362,7,0,0.3684210526315789,6,0,0.4285714285714285,13,87,0,0.13,0.87,0.0,234786.11090177903,234786.11090177903,0.0,15.946138049272683,0.4538370402583105,,0.0
100,U,1,Rolling-Horizon,0.6,ok,,258233.8011926574,20.42504389999885,,,,,,,,,,,,,,,,20.42504389999885,,,,,,,,,,,,,True,,,,,,,0,253983.8011926574,4250.0,19,77803.50828731482,0.0,77803.50828731482,0.0526315789473684,0.8947368421052632,0.0526315789473684,0.0,48,97922.71043606136,3000.0,100922.71043606136,0.2708333333333333,0.5416666666666666,0.1875,0.078125,19,42257.58246928122,1250.0,43507.58246928122,0.0,0.8421052631578947,0.1578947368421052,0.131578947368421,14,36000.0,0.0,36000.0,0.0,0.8571428571428571,0.1428571428571428,0.0,40,15,0.4610041834344329,55.43932130826686,15.346920545352086,11,2,0.6356335291978763,12,10,0.325038652786536,9,2,0.5232525061160753,8,1,0.6056948813374622,14,71,15,0.14,0.71,0.15,258233.8011926574,258233.8011926574,4250.0,15.346920545352086,0.4610041834344329,,0.15
100,U,1,Fix-and-Optimize,0.6,ok,,253403.4919747181,15.269311700001708,,,,,,,,,,,,,,,,15.269311700001708,,,,,,,,,,,,,True,,,,,,,0,248528.4919747181,4875.0,19,81257.2325669334,0.0,81257.2325669334,0.0,0.9473684210526316,0.0526315789473684,0.0,48,90105.6801059988,4000.0,94105.6801059988,0.3333333333333333,0.5416666666666666,0.125,0.1041666666666666,19,41165.579301785925,875.0,42040.579301785925,0.0,0.8947368421052632,0.1052631578947368,0.0921052631578947,14,36000.0,0.0,36000.0,0.0,0.8571428571428571,0.1428571428571428,0.0,53,9,0.5602254418632601,74.68775682188001,15.186210008452242,9,1,0.5008014173700017,22,7,0.5090575251028323,13,1,0.6880292658610534,9,0,0.6428571428571429,16,73,11,0.16,0.73,0.11,253403.4919747181,253403.4919747181,4875.0,15.186210008452242,0.5602254418632601,,0.11
100,U,2,CG+IR,0.6,ok,,251523.93771524125,19.21912899999733,0.0,9.449831948098048e-05,0.009449831948098,251500.16912581792,251500.16912581792,251523.93771524125,0.009449831948098,0.0,0.0,0.0,0.0,0.0,0.0,44467.0,1.0,19.21912899999733,full_pricing_converged,Full-CG LP-IP gap,1.0,1.0,0.0,,0.0,,0.0,simops,Optimal,Optimal,True,1.0,0.0,0.0,44467.0,0.0,0.0,0,251523.93771524125,0.0,23,95540.04918273274,0.0,95540.04918273274,0.0434782608695652,0.9565217391304348,0.0,0.0,53,101453.4319923536,0.0,101453.4319923536,0.2830188679245283,0.7169811320754716,0.0,0.0,12,25730.45654015495,0.0,25730.45654015495,0.0,1.0,0.0,0.0,12,28800.0,0.0,28800.0,0.0,1.0,0.0,0.0,46,11,0.5045938943969525,70.31676160558902,15.643323476671656,9,3,0.4292276708095359,26,7,0.5512677004655703,4,0,0.3333333333333333,7,1,0.6141637405333908,16,84,0,0.16,0.84,0.0,251523.93771524125,251523.93771524125,0.0,15.643323476671656,0.5045938943969525,,0.0
100,U,2,Rolling-Horizon,0.6,ok,,278129.62789919507,21.538742699998693,,,,,,,,,,,,,,,,21.538742699998693,,,,,,,,,,,,,True,,,,,,,0,273154.62789919507,4975.0,23,94347.32004334468,500.0,94847.32004334468,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.0108695652173913,53,119579.11715322651,3600.0,123179.11715322651,0.1886792452830188,0.6037735849056604,0.2075471698113207,0.0849056603773584,12,26828.190702623888,875.0,27703.190702623888,0.0,0.9166666666666666,0.0833333333333333,0.1458333333333333,12,32400.0,0.0,32400.0,0.0,0.75,0.25,0.0,42,6,0.4465987704013694,60.240322817009655,15.234561449832716,12,1,0.5608616917006788,22,5,0.4483029836041762,6,0,0.5,2,0,0.1666666666666666,12,72,16,0.12,0.72,0.16,278129.62789919507,278129.62789919507,4975.0,15.234561449832716,0.4465987704013694,,0.16
100,U,2,Fix-and-Optimize,0.6,ok,,272836.6124672634,17.1458578999991,,,,,,,,,,,,,,,,17.1458578999991,,,,,,,,,,,,,True,,,,,,,0,270011.6124672634,2825.0,23,93606.17172884598,0.0,93606.17172884598,0.0869565217391304,0.8695652173913043,0.0434782608695652,0.0,53,118020.13576973048,2200.0,120220.13576973048,0.1698113207547169,0.6792452830188679,0.1509433962264151,0.0518867924528301,12,27785.30496868699,625.0,28410.30496868699,0.0,0.8333333333333334,0.1666666666666666,0.1041666666666666,12,30600.0,0.0,30600.0,0.0833333333333333,0.6666666666666666,0.25,0.0,54,6,0.5718325484642631,84.79018667475158,14.883277893178292,13,1,0.6030016984920096,29,5,0.5908342600209452,7,0,0.5833333333333334,5,0,0.4166666666666667,12,74,14,0.12,0.74,0.14,272836.6124672634,272836.6124672634,2825.0,14.883277893178292,0.5718325484642631,,0.14
100,U,3,CG+IR,0.6,ok,,240937.05117698613,16.11328169999979,0.0,0.0,0.0,240937.05117698613,240937.05117698613,240937.05117698613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42771.0,1.0,16.11328169999979,full_pricing_converged,Full-CG LP-IP gap,1.0,1.0,0.0,,0.0,,0.0,simops,Optimal,Optimal,True,1.0,0.0,0.0,42771.0,0.0,0.0,0,240537.05117698613,400.0,19,74339.01487754304,0.0,74339.01487754304,0.0526315789473684,0.9473684210526316,0.0,0.0,51,101129.3060629986,400.0,101529.3060629986,0.2941176470588235,0.7058823529411765,0.0,0.0098039215686274,18,38068.7302364445,0.0,38068.7302364445,0.0,1.0,0.0,0.0,12,27000.0,0.0,27000.0,0.0833333333333333,0.9166666666666666,0.0,0.0,53,7,0.5641766445466608,81.06954793247705,16.26835068423406,10,2,0.5495829288989608,24,5,0.5289331138350161,10,0,0.5555555555555556,9,0,0.75,17,83,0,0.17,0.83,0.0,240937.05117698613,240937.05117698613,400.0,16.26835068423406,0.5641766445466608,,0.0
100,U,3,Rolling-Horizon,0.6,ok,,264352.78732599894,20.399144999999407,,,,,,,,,,,,,,,,20.399144999999407,,,,,,,,,,,,,True,,,,,,,0,258152.7873259989,6200.0,19,71076.17819876727,1000.0,72076.17819876727,0.1578947368421052,0.7894736842105263,0.0526315789473684,0.0263157894736842,51,116507.61138504629,5200.0,121707.61138504629,0.1568627450980392,0.7450980392156863,0.0980392156862745,0.1274509803921568,18,41168.9977421854,0.0,41168.9977421854,0.0,0.8333333333333334,0.1666666666666666,0.0,12,29400.0,0.0,29400.0,0.25,0.3333333333333333,0.4166666666666667,0.0,40,12,0.4544911702642839,62.965081461815416,16.134324435866425,7,5,0.4997561910755777,19,4,0.4184514905869,12,1,0.6678662977479433,2,2,0.2159275013831274,14,72,14,0.14,0.72,0.14,264352.78732599894,264352.78732599894,6200.0,16.134324435866425,0.4544911702642839,,0.14
100,U,3,Fix-and-Optimize,0.6,ok,,258427.48480357413,12.126658699999098,,,,,,,,,,,,,,,,12.126658699999098,,,,,,,,,,,,,True,,,,,,,0,256502.48480357413,1925.0,19,72910.50665256561,0.0,72910.50665256561,0.1578947368421052,0.7368421052631579,0.1052631578947368,0.0,51,113332.65144492449,800.0,114132.65144492449,0.1764705882352941,0.7450980392156863,0.0784313725490196,0.0196078431372549,18,39059.32670608403,1125.0,40184.32670608403,0.0,0.9444444444444444,0.0555555555555555,0.125,12,31200.0,0.0,31200.0,0.1666666666666666,0.4166666666666667,0.4166666666666667,0.0,51,11,0.5634963096240155,77.48603854449607,15.92458049578216,11,2,0.6389237614283585,25,7,0.552721603797762,12,1,0.700976323890253,3,1,0.2836419892960266,14,74,12,0.14,0.74,0.12,258427.48480357413,258427.48480357413,1925.0,15.92458049578216,0.5634963096240155,,0.12
100,U,4,CG+IR,0.6,ok,,233295.82719341875,17.022609899999225,0.0,5.487080686627957e-06,0.0005487080686627,233294.5470803911,233294.5470803911,233295.82719341875,0.0005487080686627,0.0,0.0,0.0,0.0,0.0,0.0,45126.0,1.0,17.022609899999225,full_pricing_converged,Full-CG LP-IP gap,1.0,1.0,0.0,,0.0,,0.0,simops,Optimal,Optimal,True,1.0,0.0,0.0,45126.0,0.0,0.0,0,233295.82719341875,0.0,14,45767.26953944151,0.0,45767.26953944151,0.2857142857142857,0.7142857142857143,0.0,0.0,56,120713.70351611145,0.0,120713.70351611145,0.125,0.875,0.0,0.0,10,20614.854137865765,0.0,20614.854137865765,0.0,1.0,0.0,0.0,20,46200.0,0.0,46200.0,0.05,0.95,0.0,0.0,49,10,0.5613273762519112,89.37208611003574,16.351644545544595,9,3,0.8222009542618407,23,6,0.4795002394081052,3,1,0.3769910858671451,14,0,0.7,12,88,0,0.12,0.88,0.0,233295.82719341875,233295.82719341875,0.0,16.351644545544595,0.5613273762519112,,0.0
100,U,4,Rolling-Horizon,0.6,ok,,250638.8457328436,20.0472800000025,,,,,,,,,,,,,,,,20.0472800000025,,,,,,,,,,,,,True,,,,,,,0,246663.8457328436,3975.0,14,58249.74008217607,0.0,58249.74008217607,0.0714285714285714,0.8571428571428571,0.0714285714285714,0.0,56,117898.47234592812,3600.0,121498.47234592812,0.1964285714285714,0.75,0.0535714285714285,0.0803571428571428,10,22515.633304739426,0.0,22515.633304739426,0.0,0.8,0.2,0.0,20,48000.0,375.0,48375.0,0.1,0.75,0.15,0.0125,44,6,0.4610906349758157,62.02906638955076,16.121508091536423,7,1,0.5411179532350923,24,5,0.455953788433755,6,0,0.6,7,0,0.35,14,77,9,0.14,0.77,0.09,250638.8457328436,250638.8457328436,3975.0,16.121508091536423,0.4610906349758157,,0.09
100,U,4,Fix-and-Optimize,0.6,ok,,250244.7222193972,13.594806299999618,,,,,,,,,,,,,,,,13.594806299999618,,,,,,,,,,,,,True,,,,,,,0,248244.7222193972,2000.0,14,60598.43237938424,0.0,60598.43237938424,0.0714285714285714,0.7857142857142857,0.1428571428571428,0.0,56,115930.6565352735,2000.0,117930.6565352735,0.2321428571428571,0.7142857142857143,0.0535714285714285,0.0446428571428571,10,22515.633304739426,0.0,22515.633304739426,0.0,0.8,0.2,0.0,20,49200.0,0.0,49200.0,0.1,0.7,0.2,0.0,61,7,0.636016261342734,80.06077876875537,15.601800169403758,11,0,0.7857142857142857,37,5,0.6902886102801007,7,1,0.7336662479311343,6,1,0.3304400739638212,16,73,11,0.16,0.73,0.11,250244.7222193972,250244.7222193972,2000.0,15.601800169403758,0.636016261342734,,0.11
