N,seed,seq_obj,simops_obj,simops_saving_pct,dominance_check_passed,seq_cg_status,simops_cg_status,seq_gap_type,simops_gap_type,seq_objective_stabilized,simops_objective_stabilized,seq_best_reduced_cost_last,simops_best_reduced_cost_last
125,5,319717.5874405432,270047.5068376786,15.535610974826836,True,budgeted_max_iter,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,False,False,-444.3554855504749,-320.1835883634544
125,6,318928.4822341582,269720.57849724195,15.429134266154277,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-445.7684433814434,-1717.9934418709959
125,7,329344.33561287785,275953.9795956117,16.21110498770592,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-492.3018714553682,-1757.876610074662
125,8,328220.81604774384,274573.88541872427,16.344767914176398,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-449.5301580114483,-1721.988546969454
125,9,311153.21929895313,264852.5978942127,14.880328575438979,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-372.2677396506542,-442.4940462146765
125,10,313919.43258551555,264586.12366119714,15.71527717095991,True,budgeted_stabilized,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,True,False,-449.55471820017056,-248.98294979695902
150,1,397700.4649584394,347228.8897999599,12.69085143356669,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-383.0052984896147,-349.6698293051845
150,2,414001.85089198384,361604.1515114452,12.656392542121656,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-751.8547645894214,-449.0427166891377
150,3,395581.0934390287,341153.67965691775,13.75885113945667,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-526.2862840271227,-408.36530651830617
150,4,390112.5029857871,335723.44677388726,13.941890043416885,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-479.48659764973445,-402.0769976497345
150,5,401594.91449056834,354669.7195123113,11.68470846743233,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-498.99150933256624,-449.23741697958076
150,6,402288.85129164526,355358.4749212744,11.66584065645607,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True,-422.6177496919436,-1800.0000498131853
150,7,420054.79961710365,363670.36637517356,13.423113673103297,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-620.1025221701238,-1800.0000443695337
150,8,415592.168041208,360535.73570998275,13.247706902350995,True,budgeted_stabilized,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,True,False,-601.1953797474876,-374.3890296792051
150,9,399434.6442687517,350637.48633309297,12.216556234122384,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-536.8508395086014,-320.7486719186977
150,10,398765.85895086743,351809.5147941069,11.77541735400826,True,budgeted_stabilized,budgeted_max_iter,Pool LP-IP gap,Pool LP-IP gap,True,False,-429.73500111725843,-420.1261478902652
200,1,578475.6166288754,525417.6739598438,9.172027505365229,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True,-775.0605114922669,-429.79933592035104
200,2,592034.4141693121,539083.6193973668,8.943871083278324,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-645.21988839912,-381.91879736751434
200,3,576607.7123171479,524520.6665741678,9.033359185166601,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True,-484.8874677496642,-388.96821578729714
200,4,585542.0626527439,530525.733322258,9.395794570459982,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-706.9118768015551,-470.4848479140178
200,5,582657.8613391342,532762.389642453,8.56342546928061,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True,-735.5847064880577,-447.1777427752372
200,6,585781.0029386684,537342.149068886,8.269106308804963,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True,-782.4069194197973,-423.8243516851271
200,7,601986.9504444451,549273.8756516005,8.756514531407483,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-742.2462135639294,-472.50781868406284
200,8,593368.3500610379,538596.8028592328,9.230614877954139,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-726.4532923143784,-354.42541242727475
200,9,583867.6437618465,534743.413260271,8.413590139208463,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-662.6479014156898,-410.09364205057
200,10,598144.7926693349,546653.358772516,8.608523308717372,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True,-798.5657591000854,-490.42255910008544
500,1,1772643.9525024835,1698230.3318625225,4.197888726323722,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-1751.5701975010934,-1459.482333518797
500,2,1762535.1097176329,1695077.5184917792,3.827304820989393,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True,-1669.879729545759,-1441.6006322870185
500,3,1753885.6071483071,1688407.1853326554,3.733334805233675,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-1635.3187959500315,-1416.4654840572175
500,4,1725765.0545740994,1664481.3788975757,3.5511019019705365,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-1576.982994286131,-866.3346329625224
500,5,1779379.4711557932,1707883.2541867124,4.018042139299296,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-1867.1531044731596,-1423.0831894406906
500,6,1773250.5800488635,1696565.1180150234,4.324569967529744,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-1769.5066114786664,-1500.6316826128937
500,7,1764838.4689213932,1698575.060522126,3.754644380557104,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-1753.560385981711,-1406.0682534025304
500,8,1774958.9476469709,1704009.0099467319,3.9972720379981737,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-1840.8996934549232,-1410.0211844317487
500,9,1744320.557227433,1669788.7090198402,4.2728297788372,True,budgeted_stabilized,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,True,True,-1761.664993036908,-1424.4341172824156
500,10,1749759.2899430445,1685301.7553041824,3.683794394425547,True,budgeted_max_iter,budgeted_stabilized,Pool LP-IP gap,Pool LP-IP gap,False,True,-1557.9051066603156,-1392.1963673240512
