N,scenario,seed,method,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,pool_gap_pct,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,pricing_converged,objective_stabilized,relative_improvement_last_5,injected_columns_count,injected_incumbent_methods,min_reduced_cost,operation_mode,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,objective,total_cost,delay_cost,avg_stay_h,masking_rate,avg_delay_h
500,U,2,Rolling-Horizon,ok,,1828212.454058649,78.96783950000099,,,,,,,,,,,,,,,,78.96783950000099,,,,,,,,,,,,,1.0,,,,,,,0,1797362.454058649,30850.0,105,593875.69208552,8500.0,602375.69208552,0.0095238095238095,0.1809523809523809,0.8095238095238095,0.0404761904761904,248,759752.163615966,16600.0,776352.163615966,0.0483870967741935,0.2096774193548387,0.7419354838709677,0.0836693548387096,75,202534.5983571631,5750.0,208284.5983571631,0.0,0.2666666666666666,0.7333333333333333,0.1533333333333333,72,241200.0,0.0,241200.0,0.0416666666666666,0.0694444444444444,0.8888888888888888,0.0,34,9,0.0755213206380475,53.80636908298571,14.826009972290445,7,1,0.0744126484810791,15,5,0.0671704789832936,8,1,0.1110919001322138,4,2,0.0688494573713554,16,96,388,0.032,0.192,0.776,1828212.454058649,1828212.454058649,30850.0,14.826009972290445,0.0755213206380475,
500,U,2,Fix-and-Optimize,ok,,1814044.824957564,54.41432469999927,,,,,,,,,,,,,,,,54.41432469999927,,,,,,,,,,,,,1.0,,,,,,,0,1791419.824957564,22625.0,105,593656.9262100213,4500.0,598156.9262100213,0.0095238095238095,0.1809523809523809,0.8095238095238095,0.0214285714285714,248,751575.4173585171,13000.0,764575.4173585171,0.0564516129032258,0.2137096774193548,0.7298387096774194,0.0655241935483871,75,200787.4813890257,5125.0,205912.4813890257,0.0,0.28,0.72,0.1366666666666666,72,245400.0,0.0,245400.0,0.0138888888888888,0.0833333333333333,0.9027777777777778,0.0,49,6,0.1037643829912987,72.86300918533888,14.75366510495416,8,0,0.0761904761904762,24,6,0.1083959334501991,11,0,0.1466666666666666,6,0,0.0833333333333333,16,99,385,0.032,0.198,0.77,1814044.824957564,1814044.824957564,22625.0,14.75366510495416,0.1037643829912987,
500,U,3,CG+IR,ok,,1688407.1853326554,92.84196789999989,8.032172900006117,0.0,0.0,1688407.1853326557,1688407.1853326557,1688407.1853326554,0.0,-1416.4654840572175,3538.0,112.0,-22.24463414076763,-1416.4654840572175,3538.0,27134.0,20.0,92.84196789999989,budgeted_stabilized,Pool LP-IP gap,0.0,0.0,1.0,0.0,596.0,Greedy:500;FIFO:500,-1416.4654840572175,simops,Optimal,Optimal,1.0,20.0,10000.0,26433.0,27134.0,-1416.4654840572175,0.0865144619581693,0,1682207.1853326554,6200.0,97,326898.20946538216,1000.0,327898.20946538216,0.0103092783505154,0.8865979381443299,0.1030927835051546,0.0051546391752577,258,870993.8807422114,2200.0,873193.8807422114,0.0542635658914728,0.0271317829457364,0.9186046511627908,0.0106589147286821,79,246715.09512506143,3000.0,249715.09512506143,0.0,0.0253164556962025,0.9746835443037974,0.0759493670886076,66,237600.0,0.0,237600.0,0.0,0.0,1.0,0.0,42,12,0.0940535056032963,69.7166303059991,14.665744209775667,37,5,0.3972335844092489,5,7,0.0329267252478722,0,0,0.0,0,0,0.0,15,95,390,0.03,0.19,0.78,1688407.1853326554,1688407.1853326554,6200.0,14.665744209775667,0.0940535056032963,
500,U,3,Restricted-CG,ok,,1806960.541741979,7.572829799999454,1.2206295999967551,0.0002583001641401,0.0258300164140143,1806493.8035374524,1806493.8035374524,1806960.541741979,0.0258300164140143,-9229.5644922114,23548.0,737.0,-9229.5644922114,-9229.5644922114,23548.0,4904.0,6.0,7.572829799999454,budgeted_max_iter,Pool LP-IP gap,0.0,0.0,0.0,4.633062593336263e-15,0.0,,-9229.5644922114,simops,Optimal,Optimal,1.0,6.0,1500.0,4404.0,4904.0,-9229.5644922114,0.161185399940831,0,1775060.541741979,31900.0,97,528703.8326599132,6000.0,534703.8326599132,0.0103092783505154,0.2268041237113402,0.7628865979381443,0.0309278350515463,258,799420.0054221791,20400.0,819820.0054221791,0.0503875968992248,0.189922480620155,0.7596899224806202,0.0988372093023255,79,216536.7036598865,5125.0,221661.7036598865,0.0,0.2784810126582278,0.7215189873417721,0.1297468354430379,66,230400.0,375.0,230775.0,0.0,0.0606060606060606,0.9393939393939394,0.0037878787878787,53,9,0.1155891250093829,72.83576679267759,14.702556794505762,15,0,0.1546391752577319,24,8,0.1083496497425336,12,1,0.1625361122926301,2,0,0.0303030303030303,14,97,389,0.028,0.194,0.778,1806960.541741979,1806960.541741979,31900.0,14.702556794505762,0.1155891250093829,
500,U,3,Greedy,ok,,1809149.5641770512,0.4151154999999562,,,,,,,,,,,,,,,,0.4151154999999562,,,,,,,,,,,,,,,,,,,,0,1777249.5641770514,31900.0,97,532275.2677275909,6000.0,538275.2677275909,0.0103092783505154,0.2164948453608247,0.7731958762886598,0.0309278350515463,258,799420.0054221791,20400.0,819820.0054221791,0.0503875968992248,0.189922480620155,0.7596899224806202,0.0988372093023255,79,215154.29102728248,5125.0,220279.29102728248,0.0,0.2911392405063291,0.7088607594936709,0.1297468354430379,66,230400.0,375.0,230775.0,0.0,0.0606060606060606,0.9393939393939394,0.0037878787878787,52,9,0.1135891250093829,72.08576679267759,14.705113692172423,14,0,0.1443298969072164,24,8,0.1083496497425336,12,1,0.1625361122926301,2,0,0.0303030303030303,14,97,389,0.028,0.194,0.778,1809149.5641770512,1809149.5641770512,31900.0,14.705113692172423,0.1135891250093829,
500,U,3,FIFO,ok,,1823089.902423904,0.2614401999999245,,,,,,,,,,,,,,,,0.2614401999999245,,,,,,,,,,,,,,,,,,,,0,1778164.902423903,44925.0,97,536578.811277829,8500.0,545078.811277829,0.0206185567010309,0.1855670103092783,0.7938144329896907,0.0438144329896907,258,796149.0463289961,29800.0,825949.0463289961,0.0465116279069767,0.2015503875968992,0.751937984496124,0.1443798449612403,79,215037.0448170789,6625.0,221662.0448170789,0.0,0.2911392405063291,0.7088607594936709,0.1677215189873417,66,230400.0,0.0,230400.0,0.0,0.0606060606060606,0.9393939393939394,0.0,48,8,0.1018665184549327,65.54680603108336,14.760178100277518,13,1,0.1378135482085978,21,6,0.0911904382885464,12,0,0.1518987341772152,2,1,0.030881999587688,14,97,389,0.028,0.194,0.778,1823089.902423904,1823089.902423904,44925.0,14.760178100277518,0.1018665184549327,
500,U,3,Rolling-Horizon,ok,,1819148.4603984903,77.97456070000044,,,,,,,,,,,,,,,,77.97456070000044,,,,,,,,,,,,,1.0,,,,,,,0,1782848.4603984903,36300.0,97,532553.3470697914,7500.0,540053.3470697914,0.0206185567010309,0.1958762886597938,0.7835051546391752,0.0386597938144329,258,805222.9736767495,22800.0,828022.9736767495,0.0465116279069767,0.1860465116279069,0.7674418604651163,0.1104651162790697,79,216472.13965194955,4875.0,221347.13965194955,0.0,0.2784810126582278,0.7215189873417721,0.1234177215189873,66,228600.0,1125.0,229725.0,0.0,0.0757575757575757,0.9242424242424242,0.0113636363636363,40,9,0.0890055257971734,60.76722980472655,14.777214179750828,9,2,0.106216269252426,24,5,0.1013410886859677,6,2,0.0892884037990093,1,0,0.0151515151515151,14,94,392,0.028,0.188,0.784,1819148.4603984903,1819148.4603984903,36300.0,14.777214179750828,0.0890055257971734,
500,U,3,Fix-and-Optimize,ok,,1809138.927660484,60.875843200003146,,,,,,,,,,,,,,,,60.875843200003146,,,,,,,,,,,,,1.0,,,,,,,0,1779763.9276604836,29375.0,97,536893.7526070868,2500.0,539393.7526070868,0.0206185567010309,0.1855670103092783,0.7938144329896907,0.0128865979381443,258,795515.8840261142,21000.0,816515.8840261142,0.0465116279069767,0.2054263565891473,0.748062015503876,0.1017441860465116,79,215154.29102728248,5875.0,221029.29102728248,0.0,0.2911392405063291,0.7088607594936709,0.1487341772151898,66,232200.0,0.0,232200.0,0.0,0.0454545454545454,0.9545454545454546,0.0,55,6,0.1168027320188643,80.48827021489514,14.674438740249215,13,2,0.1416248096738777,29,3,0.1194705682168537,12,1,0.1625361122926301,1,0,0.0151515151515151,14,97,389,0.028,0.194,0.778,1809138.927660484,1809138.927660484,29375.0,14.674438740249215,0.1168027320188643,
500,U,4,CG+IR,ok,,1664481.3788975757,96.72773790000063,7.998602600000595,1.4207078297524498e-06,0.0001420707829752,1664479.0141558482,1664479.0141558482,1664481.3788975757,0.0001420707829752,-866.1322942861311,5992.0,99.0,-22.742838867722185,-866.1322942861311,5992.0,27670.0,20.0,96.72773790000063,budgeted_stabilized,Pool LP-IP gap,0.0,0.0,1.0,3.114166368769695e-07,603.0,Greedy:500;FIFO:500,-866.1322942861311,simops,Optimal,Optimal,1.0,20.0,10000.0,26963.0,27670.0,-866.1322942861311,0.0826919224376955,0,1662381.3788975757,2100.0,81,257119.1456115172,500.0,257619.1456115172,0.0,1.0,0.0,0.0030864197530864,246,823156.4140621356,600.0,823756.4140621356,0.056910569105691,0.0447154471544715,0.8983739837398373,0.0030487804878048,78,240105.8192239232,1000.0,241105.8192239232,0.0,0.0256410256410256,0.9743589743589745,0.0256410256410256,95,342000.0,0.0,342000.0,0.0,0.0,1.0,0.0,46,17,0.1103988252236623,78.91376178000006,14.07511595590058,38,8,0.5197313418167835,8,9,0.0532568045718362,0,0,0.0,0,0,0.0,14,94,392,0.028,0.188,0.784,1664481.3788975757,1664481.3788975757,2100.0,14.07511595590058,0.1103988252236623,
500,U,4,Restricted-CG,ok,,1785350.6861178377,7.412998600000719,1.2145219999947583,0.0,0.0,1785350.686117838,1785350.686117838,1785350.6861178377,0.0,-7701.025864346396,24004.0,741.0,-7701.025864346396,-7701.025864346396,24004.0,4949.0,6.0,7.412998600000719,budgeted_stabilized,Pool LP-IP gap,0.0,0.0,1.0,0.0,0.0,,-7701.025864346396,simops,Optimal,Optimal,1.0,6.0,1500.0,4449.0,4949.0,-7701.025864346396,0.1638368041772786,0,1751750.6861178377,33600.0,81,456967.6143805224,6500.0,463467.6143805224,0.0246913580246913,0.1851851851851851,0.7901234567901234,0.0401234567901234,246,763448.7839457776,20600.0,784048.7839457776,0.048780487804878,0.2073170731707317,0.7439024390243902,0.1046747967479674,78,217534.2877915393,6125.0,223659.2877915393,0.0,0.2051282051282051,0.7948717948717948,0.157051282051282,95,313800.0,375.0,314175.0,0.0105263157894736,0.1473684210526315,0.8421052631578947,0.0026315789473684,45,7,0.0964048730272866,69.6006134780254,14.261165092266491,7,1,0.0970429143251252,25,5,0.1099858455895068,6,1,0.0805825953626855,7,0,0.0736842105263157,15,96,389,0.03,0.192,0.778,1785350.6861178377,1785350.6861178377,33600.0,14.261165092266491,0.0964048730272866,
